user,depositNumber,stakingPhase,stakingPeriod,stakingStartDate,stakingEndDate,amount,reward,apy
0xcE043A2c3572C111fc3E2e660600c6f83f98Cc74,11,0,7,2026-04-08T17:45:49.000Z,2026-04-15T17:45:49.000Z,"1,000,000.00","5,753.42",30
0x5eFF5EB03d495904CB1fc318E3Fdf91f56b68295,8,0,7,2026-04-08T17:25:41.000Z,2026-04-15T17:25:41.000Z,"1,000,000.00","5,753.42",30
0x47cABbA9ABf3Ff8a9dDe2Ac3675aB6E029C652c9,12,0,7,2026-04-08T17:10:07.000Z,2026-04-15T17:10:07.000Z,"142,100.00",817.56,30
0x06f860b593e509E3FF0617859418D2F99495eA81,7,0,7,2026-04-08T16:20:07.000Z,2026-04-15T16:20:07.000Z,"1,000,000.00","5,753.42",30
0x2eb52d6c72919246d7370e16267F9DDE7CDcFCaa,14,0,7,2026-04-08T16:04:27.000Z,2026-04-15T16:04:27.000Z,"1,000,000.00","5,753.42",30
0x986b088F2874FeC553f05644Aa22c4b0239d54e5,24,0,7,2026-04-08T15:56:59.000Z,2026-04-15T15:56:59.000Z,"1,000,000.00","5,753.42",30
0x2Cb558577Ba4C70752F65B71188e6563e725E0a5,5,0,7,2026-04-08T15:32:33.000Z,2026-04-15T15:32:33.000Z,"443,060.27","2,549.11",30
0xF7E482d5e2a72CA9E1E17945192a83E81f4BfE71,26,0,7,2026-04-08T14:43:39.000Z,2026-04-15T14:43:39.000Z,"461,000.00","2,652.33",30
0xB322De242318f10b70959ACfc676e7a9e6056482,22,0,7,2026-04-08T13:45:11.000Z,2026-04-15T13:45:11.000Z,"1,000,000.00","5,753.42",30
0x66e7315e8470CFDCe48059882eBb867Fd19920f6,18,0,7,2026-04-08T13:35:29.000Z,2026-04-15T13:35:29.000Z,"63,000.00",362.47,30
0xE9ce9be409E683A3a867a3A6581053F0DDaB4CA4,19,0,7,2026-04-08T13:07:35.000Z,2026-04-15T13:07:35.000Z,"438,000.00","2,520.00",30
0xDCC62Cf1E7c6A242ed3f866FAEFbe8aEb87B28Ec,15,0,7,2026-04-08T12:56:11.000Z,2026-04-15T12:56:11.000Z,"209,000.00","1,202.47",30
0xf3cf2184d03B480aceEE416342446503dFcdcA19,6,0,7,2026-04-08T12:51:29.000Z,2026-04-15T12:51:29.000Z,"1,000,000.00","5,753.42",30
0xfFD77FF7b9F30E120071187Ee9Cb1bdd87B0d891,3,0,7,2026-04-08T12:49:07.000Z,2026-04-15T12:49:07.000Z,"1,000,000.00","5,753.42",30
0xF78411993c25C051f8f5678C80dcce54cCe8519D,6,0,7,2026-04-08T12:47:05.000Z,2026-04-15T12:47:05.000Z,"1,000,000.00","5,753.42",30
0x20A8702b0626cA89C961dE94F7f3f1DA3DDe1a2E,8,0,7,2026-04-08T12:45:37.000Z,2026-04-15T12:45:37.000Z,"1,000,000.00","5,753.42",30
0x808D2Acf6Ea6736D5C97e3b9167bcf630f4d583d,9,0,7,2026-04-08T12:43:51.000Z,2026-04-15T12:43:51.000Z,"1,000,000.00","5,753.42",30
0xBE4528FBeEB821bc3E9697283a35F6C0808E30af,9,0,7,2026-04-08T12:41:41.000Z,2026-04-15T12:41:41.000Z,"1,000,000.00","5,753.42",30
0x3dFBC5a761aEaf5d77dD8115453a96AD0C381FA5,9,0,7,2026-04-08T12:40:09.000Z,2026-04-15T12:40:09.000Z,"1,000,000.00","5,753.42",30
0x664A006af27911F4D12A665c32b579C9509A1eEb,9,0,7,2026-04-08T12:38:05.000Z,2026-04-15T12:38:05.000Z,"1,000,000.00","5,753.42",30
0xB9B089B16491264296fbB7C068cA73E8e61D6612,9,0,7,2026-04-08T12:35:57.000Z,2026-04-15T12:35:57.000Z,"1,000,000.00","5,753.42",30
0xb22640a2A4f0C7e552e4289b826a349599E0937c,10,0,7,2026-04-08T12:33:21.000Z,2026-04-15T12:33:21.000Z,"1,000,000.00","5,753.42",30
0x9B2Da3bb545909AD7406C99f0eACf81BE3B244b9,9,0,7,2026-04-08T12:31:17.000Z,2026-04-15T12:31:17.000Z,"1,000,000.00","5,753.42",30
